company_id,company_name,owner_id,owner_name,property_id,property_name,agreement_id,settlement_id,settlement_status,accounting_period,source_type,source_id,source_date,source_amount,currency,finding_code,severity,explanation
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000045,POSTED,2026-01,DEPOSIT,70000000-0000-4000-a000-000000000071,2026-01-20,500,OMR,DEDUCTION_WITHOUT_BENEFICIARY,HIGH,Deposit deduction without beneficiary.
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000042,PAID,2026-01,EXPENSE,60000000-0000-4000-a000-000000000061,2026-01-10,320,OMR,DUPLICATE_EXPENSE_ACROSS_SETTLEMENTS,HIGH,Expense reused across multiple paid settlements.
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000041,PAID,2026-01,PAYMENT,50000000-0000-4000-a000-000000000051,2026-01-15,1250.5,OMR,DUPLICATE_PAYMENT_ACROSS_SETTLEMENTS,HIGH,Payment reused across multiple paid settlements (company-scoped detection).
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000049,POSTED,2026-01,MASTER_LEASE,a0000000-0000-4000-a000-0000000000a1,2026-01-01,12000,OMR,MASTER_LEASE_MISSING_DISCOUNT_RATE,HIGH,Master lease missing discount rate snapshot.
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000044,DRAFT,2026-02,EXPENSE,60000000-0000-4000-a000-000000000062,2026-02-05,150,OMR,OWNER_TENANT_EXPENSE_IN_OFFICE_ACCOUNT,MEDIUM,OWNER expense mapped to office expense account 6100.
00000000-0000-4000-a000-000000000002,Demo Malek Co B,10000000-0000-4000-a000-000000000012,Owner Beta,20000000-0000-4000-a000-000000000022,Property Palm Tower,30000000-0000-4000-a000-000000000032,40000000-0000-4000-a000-000000000043,PAID,2026-02,PAYMENT,50000000-0000-4000-a000-000000000052,2026-02-12,800,OMR,PAID_SETTLEMENT_WITHOUT_PAYMENT_EVIDENCE,MEDIUM,Paid settlement without payment evidence (missing link).
00000000-0000-4000-a000-000000000002,Demo Malek Co B,10000000-0000-4000-a000-000000000012,Owner Beta,20000000-0000-4000-a000-000000000022,Property Palm Tower,30000000-0000-4000-a000-000000000032,40000000-0000-4000-a000-000000000047,POSTED,2026-02,JOURNAL,90000000-0000-4000-a000-000000000091,2026-02-14,250,OMR,POSTING_WITHOUT_SOURCE,HIGH,Journal batch without source metadata.
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000048,POSTED,2026-02,AGREEMENT,30000000-0000-4000-a000-000000000031,2026-02-01,0,OMR,RETROACTIVE_COMMISSION_CHANGE,MEDIUM,Agreement commission changed retroactively vs contract snapshot.
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000046,POSTED,2026-01,INVOICE,80000000-0000-4000-a000-000000000081,2026-01-08,1000,OMR,SOURCE_WITHOUT_POSTING,MEDIUM,Posted invoice without journal posting (orphan).
00000000-0000-4000-a000-000000000001,Demo Malek Co A,10000000-0000-4000-a000-000000000011,Owner Alpha,20000000-0000-4000-a000-000000000021,Property Olive Residence,30000000-0000-4000-a000-000000000031,40000000-0000-4000-a000-000000000050,POSTED,2026-01,RECONCILIATION,b0000000-0000-4000-a000-0000000000b1,2026-01-31,75.25,OMR,SUBLEDGER_GL_MISMATCH,HIGH,Tenant Receivables subledger vs GL difference.
